date,sku_id,warehouse_id,demand_units,fulfilled_units,stockout_flag,sku_name,category,temp_min_c,temp_max_c,unit_cost,shelf_life_days,warehouse_name,region,day_of_week,month,quarter,week_of_year,day_of_year,year,is_weekend,lag_7,lag_14,lag_28,rolling_7_mean,rolling_14_mean,rolling_28_mean,rolling_7_std,max_severity_score,total_delay_hours,had_weather_event,breach_count,supplier_delay_hrs,had_supplier_delay
2023-01-21,1,1,139,122,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,1,1,3,21,2023,1,121.0,129.0,,176.28571428571428,176.5,179.7,35.56081310335055,0,0.0,0,0,0.0,0
2023-01-22,1,1,116,111,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,1,1,3,22,2023,1,133.0,116.0,,178.85714285714286,177.21428571428572,177.76190476190476,31.291258478093486,0,0.0,0,0,0.0,0
2023-01-23,1,1,215,213,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,1,1,4,23,2023,0,202.0,212.0,,176.42857142857142,177.21428571428572,174.95454545454547,35.781080395730285,0,0.0,0,0,0.0,0
2023-01-24,1,1,220,220,False,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,1,1,4,24,2023,0,206.0,213.0,,178.28571428571428,177.42857142857142,176.69565217391303,37.619650386973234,3,12.3,1,0,0.0,0
2023-01-25,1,1,204,184,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,1,1,4,25,2023,0,196.0,203.0,,180.28571428571428,177.92857142857142,178.5,39.655660738051374,0,0.0,0,0,0.0,0
2023-01-26,1,1,218,197,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,1,1,4,26,2023,0,203.0,193.0,,181.42857142857142,178.0,179.52,40.294156494695955,0,0.0,0,0,0.0,0
2023-01-27,1,1,175,163,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,1,1,4,27,2023,0,173.0,171.0,,183.57142857142858,179.78571428571428,181.0,41.995464607729346,2,2.8,1,0,0.0,0
2023-01-28,1,1,139,124,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,1,1,4,28,2023,1,139.0,121.0,,183.85714285714286,180.07142857142858,180.77777777777777,41.918287860346325,2,4.8,1,0,0.0,0
2023-01-29,1,1,120,109,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,1,1,4,29,2023,1,116.0,133.0,128.0,183.85714285714286,181.35714285714286,179.28571428571428,41.918287860346325,0,0.0,0,0,0.0,0
2023-01-30,1,1,200,183,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,1,1,5,30,2023,0,215.0,202.0,207.0,184.42857142857142,180.42857142857142,179.0,40.85281362345049,0,0.0,0,0,0.0,0
2023-01-31,1,1,198,193,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,1,1,5,31,2023,0,220.0,206.0,222.0,182.28571428571428,180.28571428571428,178.75,39.34765679475838,0,0.0,0,0,0.0,0
2023-02-01,1,1,167,166,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,2,1,5,32,2023,0,204.0,196.0,186.0,179.14285714285714,179.71428571428572,177.89285714285714,36.61706601858651,0,0.0,0,0,0.0,0
2023-02-02,1,1,219,211,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,2,1,5,33,2023,0,218.0,203.0,193.0,173.85714285714286,177.64285714285714,177.21428571428572,35.068640176224726,0,0.0,0,0,0.0,0
2023-02-03,1,1,174,158,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,2,1,5,34,2023,0,175.0,173.0,187.0,174.0,178.78571428571428,178.14285714285714,35.27983371087038,0,0.0,0,0,0.0,0
2023-02-04,1,1,124,115,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,2,1,5,35,2023,1,139.0,139.0,129.0,173.85714285714286,178.85714285714286,177.67857142857142,35.27713410236423,0,0.0,0,0,0.0,0
2023-02-05,1,1,124,109,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,2,1,5,36,2023,1,120.0,116.0,116.0,171.71428571428572,177.78571428571428,177.5,38.090743782509165,0,0.0,0,0,0.0,0
2023-02-06,1,1,207,204,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,2,1,6,37,2023,0,200.0,215.0,212.0,172.28571428571428,178.35714285714286,177.78571428571428,37.20535035768504,0,0.0,0,0,0.0,0
2023-02-07,1,1,225,198,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,2,1,6,38,2023,0,198.0,220.0,213.0,173.28571428571428,177.78571428571428,177.60714285714286,38.15632007813071,0,0.0,0,0,0.0,0
2023-02-08,1,1,192,178,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,2,1,6,39,2023,0,167.0,204.0,203.0,177.14285714285714,178.14285714285714,178.03571428571428,42.2193816922535,0,0.0,0,0,0.0,0
2023-02-09,1,1,202,198,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,2,1,6,40,2023,0,219.0,218.0,193.0,180.71428571428572,177.28571428571428,177.64285714285714,42.27573884910936,0,0.0,0,0,0.0,0
2023-02-10,1,1,147,146,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,2,1,6,41,2023,0,174.0,175.0,171.0,178.28571428571428,176.14285714285714,177.96428571428572,40.144382279111326,0,0.0,0,0,0.0,0
2023-02-11,1,1,137,135,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,2,1,6,42,2023,1,124.0,139.0,121.0,174.42857142857142,174.14285714285714,177.10714285714286,41.8841940866207,2,4.9,1,0,0.0,0
2023-02-12,1,1,104,95,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,2,1,6,43,2023,1,124.0,120.0,133.0,176.28571428571428,174.0,177.67857142857142,39.49562965575762,0,0.0,0,0,0.0,0
2023-02-13,1,1,224,210,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,2,1,7,44,2023,0,207.0,200.0,202.0,173.42857142857142,172.85714285714286,176.64285714285714,44.335302498336986,0,0.0,0,0,0.0,0
2023-02-14,1,1,214,196,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,2,1,7,45,2023,0,225.0,198.0,206.0,175.85714285714286,174.57142857142858,177.42857142857142,46.873690457898185,0,0.0,0,0,0.0,0
2023-02-15,1,1,197,194,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,2,1,7,46,2023,0,192.0,167.0,196.0,174.28571428571428,175.71428571428572,177.71428571428572,45.102528701150376,0,0.0,0,0,0.0,0
2023-02-16,1,1,219,201,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,2,1,7,47,2023,0,202.0,219.0,203.0,175.0,177.85714285714286,177.75,45.467937421146914,2,3.5,1,0,0.0,0
2023-02-17,1,1,194,175,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,2,1,7,48,2023,0,147.0,174.0,173.0,177.42857142857142,177.85714285714286,178.32142857142858,47.55648270865967,0,0.0,0,0,0.0,0
2023-02-18,1,1,143,131,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,2,1,7,49,2023,1,137.0,124.0,139.0,184.14285714285714,179.28571428571428,179.07142857142858,45.830952319106245,0,0.0,0,0,0.0,0
2023-02-19,1,1,104,93,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,2,1,7,50,2023,1,104.0,124.0,116.0,185.0,180.64285714285714,179.21428571428572,44.847891068960344,0,0.0,0,0,0.0,0
2023-02-20,1,1,193,180,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,2,1,8,51,2023,0,224.0,207.0,215.0,185.0,179.21428571428572,178.78571428571428,44.847891068960344,0,0.0,0,0,0.0,0
2023-02-21,1,1,196,184,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,2,1,8,52,2023,0,214.0,225.0,220.0,180.57142857142858,178.21428571428572,178.0,41.78060611837801,0,0.0,0,0,0.0,0
2023-02-22,1,1,181,179,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,2,1,8,53,2023,0,197.0,192.0,204.0,178.0,176.14285714285714,177.14285714285714,39.891519566611294,0,0.0,0,0,48.4,1
2023-02-23,1,1,181,166,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,2,1,8,54,2023,0,219.0,202.0,218.0,175.71428571428572,175.35714285714286,176.32142857142858,39.07136328017524,0,0.0,0,0,0.0,0
2023-02-24,1,1,180,176,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,2,1,8,55,2023,0,194.0,147.0,175.0,170.28571428571428,173.85714285714286,175.0,34.41760346932112,1,1.0,1,0,0.0,0
2023-02-25,1,1,123,122,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,2,1,8,56,2023,1,143.0,137.0,139.0,168.28571428571428,176.21428571428572,175.17857142857142,33.19495084956082,0,0.0,0,0,0.0,0
2023-02-26,1,1,110,102,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,2,1,8,57,2023,1,104.0,104.0,120.0,165.42857142857142,175.21428571428572,174.60714285714286,36.436507072152835,0,0.0,0,0,0.0,0
2023-02-27,1,1,204,181,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,2,1,9,58,2023,0,193.0,224.0,200.0,166.28571428571428,175.64285714285714,174.25,34.78368528354576,0,0.0,0,0,0.0,0
2023-02-28,1,1,214,196,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,2,1,9,59,2023,0,196.0,214.0,198.0,167.85714285714286,174.21428571428572,174.39285714285714,36.40251168728407,0,0.0,0,0,0.0,0
2023-03-01,1,1,204,200,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,3,1,9,60,2023,0,181.0,197.0,167.0,170.42857142857142,174.21428571428572,174.96428571428572,39.24647390894768,0,0.0,0,0,0.0,0
2023-03-02,1,1,186,167,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,3,1,9,61,2023,0,181.0,219.0,219.0,173.71428571428572,174.71428571428572,176.28571428571428,41.193503879917266,0,0.0,0,0,0.0,0
2023-03-03,1,1,182,169,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,3,1,9,62,2023,0,180.0,194.0,174.0,174.42857142857142,172.35714285714286,175.10714285714286,41.38380175405644,0,0.0,0,0,0.0,0
2023-03-04,1,1,124,122,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,3,1,9,63,2023,1,123.0,143.0,124.0,174.71428571428572,171.5,175.39285714285714,41.43554949442277,0,0.0,0,0,0.0,0
2023-03-05,1,1,123,121,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,3,1,9,64,2023,1,110.0,104.0,124.0,174.85714285714286,170.14285714285714,175.39285714285714,41.22874632837532,0,0.0,0,0,0.0,0
2023-03-06,1,1,216,212,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,3,1,10,65,2023,0,204.0,193.0,207.0,176.71428571428572,171.5,175.35714285714286,37.985586238792735,0,0.0,0,0,0.0,0
2023-03-07,1,1,210,195,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,3,1,10,66,2023,0,214.0,196.0,225.0,178.42857142857142,173.14285714285714,175.67857142857142,39.6562611401913,1,1.1,1,0,0.0,0
2023-03-08,1,1,191,176,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,3,1,10,67,2023,0,204.0,181.0,192.0,177.85714285714286,174.14285714285714,175.14285714285714,39.08293989039449,0,0.0,0,0,0.0,0
2023-03-09,1,1,185,178,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,3,1,10,68,2023,0,186.0,181.0,202.0,176.0,174.85714285714286,175.10714285714286,37.92536530256936,0,0.0,0,0,0.0,0
2023-03-10,1,1,152,150,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,3,1,10,69,2023,0,182.0,180.0,147.0,175.85714285714286,175.14285714285714,174.5,37.88327938738746,0,0.0,0,0,0.0,0
2023-03-11,1,1,127,124,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,3,1,10,70,2023,1,124.0,123.0,137.0,171.57142857142858,173.14285714285714,174.67857142857142,38.75933067386113,0,0.0,0,0,0.0,0
2023-03-12,1,1,125,116,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,3,1,10,71,2023,1,123.0,110.0,104.0,172.0,173.42857142857142,174.32142857142858,38.157568056677796,0,0.0,0,0,0.0,0
2023-03-13,1,1,203,199,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,3,1,11,72,2023,0,216.0,204.0,224.0,172.28571428571428,174.5,175.07142857142858,37.734662604888356,0,0.0,0,0,0.0,0
2023-03-14,1,1,230,207,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,3,1,11,73,2023,0,210.0,214.0,214.0,170.42857142857142,174.42857142857142,174.32142857142858,35.47702140286082,0,0.0,0,0,0.0,0
2023-03-15,1,1,188,183,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,3,1,11,74,2023,0,191.0,204.0,197.0,173.28571428571428,175.57142857142858,174.89285714285714,39.743822520882745,0,0.0,0,0,0.0,0
2023-03-16,1,1,192,184,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,3,1,11,75,2023,0,185.0,186.0,219.0,172.85714285714286,174.42857142857142,174.57142857142858,39.5366014870127,0,0.0,0,0,0.0,0
2023-03-17,1,1,159,143,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,3,1,11,76,2023,0,152.0,182.0,194.0,173.85714285714286,174.85714285714286,173.60714285714286,39.98094784364408,0,0.0,0,0,0.0,0
2023-03-18,1,1,125,121,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,3,1,11,77,2023,1,127.0,124.0,143.0,174.85714285714286,173.21428571428572,172.35714285714286,39.426846063008746,0,0.0,0,0,0.0,0
2023-03-19,1,1,116,116,False,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,3,1,11,78,2023,1,125.0,123.0,104.0,174.57142857142858,173.28571428571428,171.71428571428572,39.83657089851457,0,0.0,0,0,0.0,0
2023-03-20,1,1,200,179,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,3,1,12,79,2023,0,203.0,216.0,193.0,173.28571428571428,172.78571428571428,172.14285714285714,41.79997721576044,0,0.0,0,0,0.0,0
2023-03-21,1,1,190,188,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,3,1,12,80,2023,0,230.0,210.0,196.0,172.85714285714286,171.64285714285714,172.39285714285714,41.45852775738087,0,0.0,0,0,0.0,0
2023-03-22,1,1,194,173,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,3,1,12,81,2023,0,188.0,191.0,181.0,167.14285714285714,170.21428571428572,172.17857142857142,34.43074484347072,0,0.0,0,0,0.0,0
2023-03-23,1,1,168,159,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,3,1,12,82,2023,0,192.0,185.0,181.0,168.0,170.42857142857142,172.64285714285714,35.104605585782174,1,0.7,1,0,0.0,0
2023-03-24,1,1,162,143,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,3,1,12,83,2023,0,159.0,152.0,180.0,164.57142857142858,169.21428571428572,172.17857142857142,33.50550772065754,0,0.0,0,0,0.0,0
2023-03-25,1,1,145,137,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,3,1,12,84,2023,1,125.0,127.0,123.0,165.0,169.92857142857142,171.53571428571428,33.44149119482156,0,0.0,0,0,9.2,1
2023-03-26,1,1,106,105,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,3,1,12,85,2023,1,116.0,125.0,110.0,167.85714285714286,171.21428571428572,172.32142857142858,30.14646784964234,0,0.0,0,0,0.0,0
2023-03-27,1,1,200,195,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,3,1,13,86,2023,0,200.0,203.0,204.0,166.42857142857142,169.85714285714286,172.17857142857142,33.10517151371332,0,0.0,0,0,0.0,0
2023-03-28,1,1,199,193,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,3,1,13,87,2023,0,190.0,230.0,214.0,166.42857142857142,169.64285714285714,172.03571428571428,33.10517151371332,0,0.0,0,0,0.0,0
2023-03-29,1,1,183,181,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,3,1,13,88,2023,0,194.0,188.0,204.0,167.71428571428572,167.42857142857142,171.5,34.325472979087856,0,0.0,0,0,0.0,0
2023-03-30,1,1,193,180,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,3,1,13,89,2023,0,168.0,192.0,186.0,166.14285714285714,167.07142857142858,170.75,33.15332347054895,0,0.0,0,0,0.0,0
2023-03-31,1,1,167,147,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,3,1,13,90,2023,0,162.0,159.0,182.0,169.71428571428572,167.14285714285714,171.0,34.69733076051756,0,0.0,0,0,0.0,0
2023-04-01,1,1,135,134,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,4,2,13,91,2023,1,145.0,125.0,124.0,170.42857142857142,167.71428571428572,170.46428571428572,34.56326153040312,0,0.0,0,0,0.0,0
2023-04-02,1,1,122,118,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,4,2,13,92,2023,1,106.0,116.0,123.0,169.0,168.42857142857142,170.85714285714286,35.96757799277931,0,0.0,0,0,0.0,0
2023-04-03,1,1,190,185,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,4,2,14,93,2023,0,200.0,200.0,216.0,171.28571428571428,168.85714285714286,170.82142857142858,31.531541275968287,0,0.0,0,0,0.0,0
2023-04-04,1,1,226,202,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,4,2,14,94,2023,0,199.0,190.0,210.0,169.85714285714286,168.14285714285714,169.89285714285714,30.212737774149495,0,0.0,0,0,26.1,1
2023-04-05,1,1,216,194,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,4,2,14,95,2023,0,183.0,194.0,191.0,173.71428571428572,170.71428571428572,170.46428571428572,35.76643811225955,0,0.0,0,0,0.0,0
2023-04-06,1,1,172,169,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,4,2,14,96,2023,0,193.0,168.0,185.0,178.42857142857142,172.28571428571428,171.35714285714286,39.203984248445714,0,0.0,0,0,0.0,0
2023-04-07,1,1,163,162,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,4,2,14,97,2023,0,167.0,162.0,152.0,175.42857142857142,172.57142857142858,170.89285714285714,38.70338978632723,0,0.0,0,0,0.0,0
2023-04-08,1,1,114,105,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,4,2,14,98,2023,1,135.0,145.0,127.0,174.85714285714286,172.64285714285714,171.28571428571428,38.877708143307366,0,0.0,0,0,0.0,0
2023-04-09,1,1,115,106,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,4,2,14,99,2023,1,122.0,106.0,125.0,171.85714285714286,170.42857142857142,170.82142857142858,43.0520172637263,0,0.0,0,0,0.0,0
2023-04-10,1,1,202,184,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,4,2,15,100,2023,0,190.0,200.0,203.0,170.85714285714286,171.07142857142858,170.46428571428572,44.46132615891614,0,0.0,0,0,0.0,0
2023-04-11,1,1,210,204,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,4,2,15,101,2023,0,226.0,199.0,230.0,172.57142857142858,171.21428571428572,170.42857142857142,45.54066733099525,0,0.0,0,0,0.0,0
2023-04-12,1,1,204,191,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,4,2,15,102,2023,0,216.0,183.0,188.0,170.28571428571428,172.0,169.71428571428572,42.726706268695985,0,0.0,0,0,0.0,0
2023-04-13,1,1,174,162,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,4,2,15,103,2023,0,172.0,193.0,192.0,168.57142857142858,173.5,170.28571428571428,40.78339998437735,0,0.0,0,0,0.0,0
2023-04-14,1,1,182,170,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,4,2,15,104,2023,0,163.0,167.0,159.0,168.85714285714286,172.14285714285714,169.64285714285714,40.81841321196664,0,0.0,0,0,0.0,0
